4|25|29|9
13|17|10|21
14|7|6|19
5|11|8|18
12|27|23|16
3|22|15|24
25|26|20|28
29|1|30|2
21|4|5|6
7|8|9|10
11|12|13|14
15|19|17|18
16|20|1|22
23|24|2|26
27|28|3|30
18|13|7|29
6|15|8|25
9|21|19|20
10|2|14|5
17|3|12|4
11|23|22|7
26|18|16|30
13|25|24|27
8|14|28|1
20|29|6|17
22|10|19|12
2|21|11|3
30|9|15|23
1|5|26|27
24|16|4|28
19|7|17|25
20|8|2|12
3|18|10|6
29|14|26|22
28|23|21|15
1|9|16|11
4|30|19|13
24|12|5|7
22|17|27|2
15|26|20|10
23|3|29|8
14|30|25|16
18|1|21|24
27|6|11|4
5|28|13|9
12|8|26|19
17|10|14|23
20|30|7|3
6|24|9|11
25|22|18|4
16|13|2|15
8|27|21|14
28|19|1|29
26|5|3|17
10|11|30|24
13|4|23|20
9|2|12|18
16|6|28|22
7|21|25|1
27|15|29|5
30|13|8|17
11|26|4|10
19|16|3|24
2|28|7|9
18|14|20|27
1|6|23|12
21|15|22|13
25|11|5|30
8|29|10|16
17|24|28|20
26|3|9|14
7|4|15|1
2|27|6|19
23|18|22|5
12|29|25|21
24|9|17|30
7|26|16|8
3|10|1|13
28|5|19|2
14|6|12|15
29|20|18|11
9|22|4|8
21|23|27|26
17|16|2|25
10|12|30|28
5|20|24|14
15|1|18|3
22|19|11|21
6|25|13|23
4|7|27|29
